Subject,SessionNumber,BlockNumber,isRepetition,isNewRepetition,isSwapped,ContextID,ContextBackground,ContextColor,BlockLevelAccuracy,SwappedErrorCorrection,isColorSame,isBackgroundSame,InitialBlockNumber
Bard,1,1,0,0,0,009_047_060_001_4_filtered_84,009_047_060_001_4_filtered,84,0.733333333333333,0,NaN,NaN,NaN
Bard,1,2,0,0,1,010_005_022_001_3_filtered_126,010_005_022_001_3_filtered,126,0.733333333333333,0.5,NaN,NaN,NaN
Bard,1,3,0,0,0,009_019_068_002_1_filtered_126,009_019_068_002_1_filtered,126,1,-0.25,1,1,NaN
Bard,1,4,0,0,1,010_018_028_001_3_filtered_0,010_018_028_001_3_filtered,0,0.8,-0.333333333333333,1,1,NaN
Bard,1,5,0,0,0,009_019_068_001_1_filtered_126,009_019_068_001_1_filtered,126,0.6,-0.25,1,1,NaN
Bard,1,6,0,0,1,010_028_022_002_3_filtered_84,010_028_022_002_3_filtered,84,0.8,-0.5,NaN,NaN,NaN
Bard,1,7,1,0,0,009_019_068_002_1_filtered_126,009_019_068_002_1_filtered,126,0.866666666666667,0.333333333333333,NaN,NaN,3
Bard,1,8,1,0,1,010_018_028_001_3_filtered_0,010_018_028_001_3_filtered,0,0.933333333333333,-0.25,NaN,NaN,4
Bard,1,9,1,0,0,009_019_068_001_1_filtered_126,009_019_068_001_1_filtered,126,0.727272727272727,-0.8,NaN,NaN,5
Bard,2,1,0,0,0,009_047_068_001_4_filtered_168,009_047_068_001_4_filtered,168,0.666666666666667,-1,1,1,NaN
Bard,2,2,0,0,1,010_025_028_001_2_filtered_0,010_025_028_001_2_filtered,0,0.866666666666667,-1,1,1,NaN
Bard,2,3,0,0,0,009_065_055_001_3_filtered_126,009_065_055_001_3_filtered,126,0.8,0,1,1,NaN
Bard,2,4,0,0,1,010_005_022_002_2_filtered_168,010_005_022_002_2_filtered,168,0.666666666666667,-0.4,1,1,NaN
Bard,2,5,0,0,0,009_065_060_002_2_filtered_168,009_065_060_002_2_filtered,168,1,0,0,0,NaN
Bard,2,6,0,0,1,010_005_024_001_1_filtered_84,010_005_024_001_1_filtered,84,0.933333333333333,-0.285714285714286,1,1,NaN
